,listingId,priceAmt,priceAvgNightly,priceFees,priceRent,lat,lng,city,state,country,reviewCount,reviewAverage,bathrooms,bedrooms,listingUrl,bookWithConfidence
0,7512702,1150.0,143.75,,1150.0,33.77834244,-84.39100332,Atlanta ,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7512702?uni_id=6925236,True
0,7554619,1520.0,190.0,,1520.0,33.77818613,-84.38074973,Atlanta,GA,US,1,5.0,1.0,1,https://www.homeaway.com/vacation-rental/p7554619?uni_id=6978903,True
0,v625088,3464.76,433.1,,3464.76,33.7682659,-84.3512159,Atlanta,GA,US,19,4.7894735,2.0,4,https://www.vrbo.com/625088?unitId=1172869,True
0,v1424850,1750.0,218.75,,1750.0,33.67009615,-84.38312558,Atlanta,GA,US,4,4.75,2.0,4,https://www.vrbo.com/1424850?unitId=1983355,True
0,7130050,918.0,114.75,,918.0,33.81047814,-84.36742321,Atlanta,GA,US,5,4.8,1.0,1,https://www.homeaway.com/vacation-rental/p7130050?uni_id=6276746,True
0,7172028,1948.0,243.5,,1948.0,33.7732682,-84.3867544,Atlanta,GA,US,11,4.5454545,2.0,2,https://www.homeaway.com/vacation-rental/p7172028?uni_id=6340355,True
0,v382033,1520.0,190.0,,1520.0,33.79339868,-84.40085571,Atlanta,GA,US,18,4.647059,1.0,1,https://www.vrbo.com/382033?unitId=382033,True
0,v468017,1098.0,137.25,,1098.0,33.78735732,-84.38498675,Atlanta,GA,US,15,4.428571,1.0,1,https://www.vrbo.com/468017?unitId=1051128,True
0,7263368,1920.0,240.0,,1920.0,33.74167742,-84.37965366,Atlanta,GA,US,3,4.0,2.0,3,https://www.homeaway.com/vacation-rental/p7263368?uni_id=6555408,True
0,v1376109,1648.0,206.0,,1648.0,33.72246622,-84.4337468,Atlanta,GA,US,2,5.0,1.0,3,https://www.vrbo.com/1376109?unitId=1934463,True
0,v1417224,602.3,75.29,,602.3,33.7698875,-84.3543076,Atlanta,GA,US,1,5.0,1.0,1,https://www.vrbo.com/1417224?unitId=1975611,True
0,7290460,1520.0,190.0,,1520.0,33.7609802,-84.3738,Atlanta,GA,US,0,0.0,1.0,1,https://null,True
0,7187508,1112.0,139.0,,1112.0,33.72411,-84.44851,Atlanta,GA,US,1,3.0,1.0,3,https://www.homeaway.com/vacation-rental/p7187508?uni_id=6362188,True
0,7331172,1210.0,151.25,,1210.0,33.84881996,-84.36663325,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7331172?uni_id=6671878,True
0,v908394,820.0,102.5,,820.0,33.76256,-84.387878,Atlanta,GA,US,4,2.25,1.0,1,https://www.vrbo.com/908394?unitId=1456335,True
0,v1018973,1280.0,160.0,,1280.0,33.7625418,-84.3878736,Atlanta,GA,US,1,4.0,1.0,2,https://www.vrbo.com/1018973?unitId=1566921,True
0,v1431497,893.0,111.63,,893.0,33.7668996,-84.4192772,Atlanta,GA,US,2,2.5,2.0,3,https://www.vrbo.com/1431497?unitId=1990021,True
0,v1337903,1719.5,214.94,,1719.5,33.7282612,-84.3670403,Atlanta,GA,US,27,4.888889,2.0,3,https://www.vrbo.com/1337903?unitId=1896239,True
0,4938297,913.12,114.14,,913.12,33.7393789,-84.3751303,Atlanta,GA,US,2,4.0,1.0,2,https://www.homeaway.com/vacation-rental/p4938297?uni_id=6114959,True
0,v789728,1101.6,137.7,,1101.6,33.7767276,-84.3521127,Atlanta,GA,US,4,4.75,1.0,1,https://www.vrbo.com/789728?unitId=1337666,True
0,7000664,1800.0,225.0,,1800.0,33.77514706,-84.37438175,Atlanta,GA,US,11,5.0,2.0,3,https://www.homeaway.com/vacation-rental/p7000664?uni_id=6240780,True
0,4023000,1694.0,211.75,,1694.0,33.757406,-84.369423,Atlanta,GA,US,25,5.0,2.0,3,https://www.homeaway.com/vacation-rental/p4023000?uni_id=4412691,True
0,4782031,1260.0,157.5,,1260.0,33.7586633,-84.37115117,Atlanta,GA,US,11,4.7272725,1.0,2,https://www.homeaway.com/vacation-rental/p4782031?uni_id=5768135,True
0,v363870,860.15,107.52,,860.15,33.76344479,-84.38869774,Atlanta,GA,US,123,4.699187,1.0,1,https://www.vrbo.com/363870?unitId=363870,True
0,4993538,1800.0,225.0,,1800.0,33.775084,-84.374367,Atlanta,GA,US,10,5.0,2.0,2,https://www.homeaway.com/vacation-rental/p4993538?uni_id=6231493,True
