,listingId,priceAmt,priceAvgNightly,priceFees,priceRent,lat,lng,city,state,country,reviewCount,reviewAverage,bathrooms,bedrooms,listingUrl,bookWithConfidence,CrimeScore
0,7512702,1150,143.75,,1150,33.77834244,-84.39100332,Atlanta ,GA,US,0,0,1,1,https://www.homeaway.com/vacation-rental/p7512702?uni_id=6925236,TRUE,16.49411111
0,7554619,1520,190,,1520,33.77818613,-84.38074973,Atlanta,GA,US,1,5,1,1,https://www.homeaway.com/vacation-rental/p7554619?uni_id=6978903,TRUE,18.89185133
0,v625088,3464.76,433.1,,3464.76,33.7682659,-84.3512159,Atlanta,GA,US,19,4.7894735,2,4,https://www.vrbo.com/625088?unitId=1172869,TRUE,18.78665871
0,v1424850,1750,218.75,,1750,33.67009615,-84.38312558,Atlanta,GA,US,4,4.75,2,4,https://www.vrbo.com/1424850?unitId=1983355,TRUE,2.058507948
0,7130050,918,114.75,,918,33.81047814,-84.36742321,Atlanta,GA,US,5,4.8,1,1,https://www.homeaway.com/vacation-rental/p7130050?uni_id=6276746,TRUE,24.91504199
0,7172028,1948,243.5,,1948,33.7732682,-84.3867544,Atlanta,GA,US,11,4.5454545,2,2,https://www.homeaway.com/vacation-rental/p7172028?uni_id=6340355,TRUE,28.51691243
0,v382033,1520,190,,1520,33.79339868,-84.40085571,Atlanta,GA,US,18,4.647059,1,1,https://www.vrbo.com/382033?unitId=382033,TRUE,47.59054548
0,v468017,1098,137.25,,1098,33.78735732,-84.38498675,Atlanta,GA,US,15,4.428571,1,1,https://www.vrbo.com/468017?unitId=1051128,TRUE,32.68103834
0,7263368,1920,240,,1920,33.74167742,-84.37965366,Atlanta,GA,US,3,4,2,3,https://www.homeaway.com/vacation-rental/p7263368?uni_id=6555408,TRUE,4.575197942
0,v1376109,1648,206,,1648,33.72246622,-84.4337468,Atlanta,GA,US,2,5,1,3,https://www.vrbo.com/1376109?unitId=1934463,TRUE,6.963035823
0,v1417224,602.3,75.29,,602.3,33.7698875,-84.3543076,Atlanta,GA,US,1,5,1,1,https://www.vrbo.com/1417224?unitId=1975611,TRUE,3.303006657
0,7290460,1520,190,,1520,33.7609802,-84.3738,Atlanta,GA,US,0,0,1,1,https://null,TRUE,8.991179582
0,7187508,1112,139,,1112,33.72411,-84.44851,Atlanta,GA,US,1,3,1,3,https://www.homeaway.com/vacation-rental/p7187508?uni_id=6362188,TRUE,8.555545666
0,7331172,1210,151.25,,1210,33.84881996,-84.36663325,Atlanta,GA,US,0,0,1,1,https://www.homeaway.com/vacation-rental/p7331172?uni_id=6671878,TRUE,28.02495585
0,v908394,820,102.5,,820,33.76256,-84.387878,Atlanta,GA,US,4,2.25,1,1,https://www.vrbo.com/908394?unitId=1456335,TRUE,76.97140024
0,v1018973,1280,160,,1280,33.7625418,-84.3878736,Atlanta,GA,US,1,4,1,2,https://www.vrbo.com/1018973?unitId=1566921,TRUE,79.75888752
0,v1431497,893,111.63,,893,33.7668996,-84.4192772,Atlanta,GA,US,2,2.5,2,3,https://www.vrbo.com/1431497?unitId=1990021,TRUE,8.306868165
0,v1337903,1719.5,214.94,,1719.5,33.7282612,-84.3670403,Atlanta,GA,US,27,4.888889,2,3,https://www.vrbo.com/1337903?unitId=1896239,TRUE,10.86363898
0,4938297,913.12,114.14,,913.12,33.7393789,-84.3751303,Atlanta,GA,US,2,4,1,2,https://www.homeaway.com/vacation-rental/p4938297?uni_id=6114959,TRUE,3.46682748
0,v789728,1101.6,137.7,,1101.6,33.7767276,-84.3521127,Atlanta,GA,US,4,4.75,1,1,https://www.vrbo.com/789728?unitId=1337666,TRUE,10.7347478
0,7000664,1800,225,,1800,33.77514706,-84.37438175,Atlanta,GA,US,11,5,2,3,https://www.homeaway.com/vacation-rental/p7000664?uni_id=6240780,TRUE,11.18776264
0,4023000,1694,211.75,,1694,33.757406,-84.369423,Atlanta,GA,US,25,5,2,3,https://www.homeaway.com/vacation-rental/p4023000?uni_id=4412691,TRUE,7.071411555
0,4782031,1260,157.5,,1260,33.7586633,-84.37115117,Atlanta,GA,US,11,4.7272725,1,2,https://www.homeaway.com/vacation-rental/p4782031?uni_id=5768135,TRUE,4.577176433
0,v363870,860.15,107.52,,860.15,33.76344479,-84.38869774,Atlanta,GA,US,123,4.699187,1,1,https://www.vrbo.com/363870?unitId=363870,TRUE,56.56881399
0,4993538,1800,225,,1800,33.775084,-84.374367,Atlanta,GA,US,10,5,2,2,https://www.homeaway.com/vacation-rental/p4993538?uni_id=6231493,TRUE,12.79562198
0,4247574,1155.42,144.43,,1155.42,33.75044,-84.36438,Atlanta,GA,US,17,4.882353,1,1,https://www.homeaway.com/vacation-rental/p4247574?uni_id=4654453,TRUE,5.103966461
0,4467366,1190,148.75,,1190,33.7681659,-84.3603706,Atlanta,GA,US,9,5,1,1,https://www.homeaway.com/vacation-rental/p4467366?uni_id=5055120,TRUE,4.872403787
0,v632288,1232,154,,1232,33.76256,-84.387878,Atlanta,GA,US,73,4.630137,1,1,https://www.vrbo.com/632288?unitId=1180069,TRUE,76.97140024
0,4777156,936,117,,936,33.79501261,-84.35375733,Atlanta,GA,US,17,5,1,1,https://www.homeaway.com/vacation-rental/p4777156?uni_id=5762542,TRUE,4.084562695
0,4982430,1775,221.88,,1775,33.746884,-84.3024038,Atlanta,GA,US,6,4.3333335,1,1,https://www.homeaway.com/vacation-rental/p4982430?uni_id=6201283,TRUE,5.103930641
0,v1324334,1000,125,,1000,33.76049813,-84.39119577,Atlanta,GA,US,0,0,1,1,https://www.vrbo.com/1324334?unitId=1882621,TRUE,22.56339575
0,v1324335,1000,125,,1000,33.76166426,-84.3927762,Atlanta,GA,US,3,4,1,1,https://www.vrbo.com/1324335?unitId=1882622,TRUE,22.97411911
0,4905914,7520,940,,7520,33.77473617,-84.3489648,Atlanta,GA,US,8,5,4,6,https://www.homeaway.com/vacation-rental/p4905914?uni_id=6004900,TRUE,6.687279632
