,name,rating,review_count,categories,id,location,price,latitude,longitude
0,The Sun Dial Restaurant,3.5,998,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",_ecM0OUXnNOjB6CMnldDtg,"{'address1': '210 Peachtree St NW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['210 Peachtree St NW', 'Atlanta, GA 30303']}",$$$,33.759349,-84.388573
1,Pittypat's Porch Restaurant,3.5,661,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'soulfood', 'title': 'Soul Food'}]",EE-Co8DEeclMWHa6m7hBpw,"{'address1': '25 Andrew Young International Blvd NW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['25 Andrew Young International Blvd NW', 'Atlanta, GA 30303']}",$$,33.7598249,-84.3884199
2,Haveli Indian Cuisine,3.0,175,"[{'alias': 'indpak', 'title': 'Indian'}]",4pBPaZJYO6IHl0tOH6yBBQ,"{'address1': '225 Ted Turner Dr NW', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['225 Ted Turner Dr NW', 'Atlanta, GA 30303']}",$$,33.7607097,-84.3890332
3,Treats By Teresa,5.0,5,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",t5SEL-_xHOhiQrBIOj8y5g,"{'address1': '', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30301', 'country': 'US', 'state': 'GA', 'display_address': ['Atlanta, GA 30301']}",$$,33.7554893493652,-84.39060974121091
4,AC Lounge,4.0,7,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",ZlpPi3WN1NXG4ihfvTGjrQ,"{'address1': '101 Andrew Young International Blvd', 'address2': None, 'address3': None, 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['101 Andrew Young International Blvd', 'Atlanta, GA 30303']}",$$,33.76008,-84.39106
5,Millionaire Cupcakes,2.5,20,"[{'alias': 'cupcakes', 'title': 'Cupcakes'}]",W3ZyY7wVNnpymeuGWVaBXw,"{'address1': '', 'address2': '', 'address3': '', 'city': 'Atlanta', 'zip_code': '30301', 'country': 'US', 'state': 'GA', 'display_address': ['Atlanta, GA 30301']}",$$,33.755309999999994,-84.39085
6,The Cloakroom Kitchen & Bar,3.5,12,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]",JdnBACiTEEAQo3bP4Vv8FA,"{'address1': '160 Ted Turner Dr Nw', 'address2': None, 'address3': '', 'city': 'Atlanta', 'zip_code': '30303', 'country': 'US', 'state': 'GA', 'display_address': ['160 Ted Turner Dr Nw', 'Atlanta, GA 30303']}",,33.75928,-84.39003000000001
7,Jerk Brothers,2.0,14,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'caribbean', 'title': 'Caribbean'}]",pl0rP0cZNaTZU0qPLqGOnw,"{'address1': '', 'address2': '', 'address3': None, 'city': 'Atlanta', 'zip_code': '30301', 'country': 'US', 'state': 'GA', 'display_address': ['Atlanta, GA 30301']}",,33.755309999999994,-84.39085
8,Caribana Bliss,3.5,5,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'popuprestaurants', 'title': 'Pop-Up Restaurants'}]",dF6ReBOx-6OmuZ0R27CksA,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Atlanta', 'zip_code': '30301', 'country': 'US', 'state': 'GA', 'display_address': ['Atlanta, GA 30301']}",$$$,33.755309999999994,-84.39085
9,Drunkin Cupcakes,5.0,1,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'cupcakes', 'title': 'Cupcakes'}]",H11dwpQ-lkB3xrayxgEZOA,"{'address1': '', 'address2': '', 'address3': None, 'city': 'Atlanta', 'zip_code': '30301', 'country': 'US', 'state': 'GA', 'display_address': ['Atlanta, GA 30301']}",,33.7554893493652,-84.39060974121091
10,Cuchifritos,3.5,3,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'puertorican', 'title': 'Puerto Rican'}]",UwLAIlWYs0hoy59VHtFTmw,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Atlanta', 'zip_code': '30301', 'country': 'US', 'state': 'GA', 'display_address': ['Atlanta, GA 30301']}",,33.755309999999994,-84.39085
11,DJ Bakes,5.0,1,"[{'alias': 'desserts', 'title': 'Desserts'}]",IqhROjaiqXbOuc0dnDtrbw,"{'address1': '', 'address2': '', 'address3': None, 'city': 'Atlanta', 'zip_code': '30301', 'country': 'US', 'state': 'GA', 'display_address': ['Atlanta, GA 30301']}",,33.7554893493652,-84.39060974121091
12,Southern Bonz,4.0,1,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'catering', 'title': 'Caterers'}]",UxhT2vrwD-LtDupHuBdiPg,"{'address1': '', 'address2': '', 'address3': None, 'city': 'Atlanta', 'zip_code': '30301', 'country': 'US', 'state': 'GA', 'display_address': ['Atlanta, GA 30301']}",$$,33.755309999999994,-84.39085
13,Love at Wurst Sight,3.0,1,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'catering', 'title': 'Caterers'}]",5MoPVUI54IZ0JklFLQijgA,"{'address1': '', 'address2': '', 'address3': None, 'city': 'Atlanta', 'zip_code': '30301', 'country': 'US', 'state': 'GA', 'display_address': ['Atlanta, GA 30301']}",,33.7554893493652,-84.39060974121091
