categories 1,categories 2
"Night Life, Food","Bars, American"
Food,"Restaurants, American"
Food,Indian
Food,"Desserts, Bakery"
"Night Life, Food","Cocktail Bars, American, Lounges"
Food,Desserts
Food,American
Food,"Caribbean, Fast Food"
Food,"Caribbean, Fast Food"
Food,Desserts
Food,"Caribbean, Fast Food"
Food,Desserts
Food,"Restaurants, Barbeque, Fast Food"
Food,"Restaurants, Deli, Fast Food"
Active Life,Parks
Food,"Breakfast & Brunch, Coffee & Tea, Desserts"
"Night Life, Attractions, Food","Cocktail Bars, Mexican, Venues & Event Spaces"
"Night Life, Food","Cocktail Bars, Japanese"
Food,"Desserts, Ice Cream & Frozen Yogurt"
Active Life,Dog Parks
Food,"Mediterranean, Juice Bars & Smoothies, Middle Eastern"
Food,"Breakfast & Brunch, American"
Food,"Comfort, Asian, American"
Attraction,Aquariums
Food,"Breakfast & Brunch, Seafood"
"Night Life, Food","Bars, American, Mexican"
Food,"Coffee & Tea, Bakery"
"Shopping, Food","Comfort, American, Chicken Shop"
Food,Korean
Attraction,Museums
Food,"American, Fast Food"
Food,"Indian, Middle Eastern"
"Arts&Entertainment, Attraction","Cultural Center, Museums"
Food,Barbeque
"Arts&Entertainment, Food","American, Music Venues"
"Night Life, Shopping","Cocktail Bars, Lounges, Tobacco Shops"
"Night Life, Food","Bars, Fast Food"
Food,"Mediterranean, Indian"
Food,"Asian, Healthy, Burger"
Food,"Healthy, South American"
Food,"Asian, Healthy, South Asian"
"Attractions, Food","Coffee&Tea, American, Venues & Event Spaces"
Food,"Breakfast & Brunch, American, Fast Food"
Food,"Desserts, European, Pizza"
"Attractions, Food","European, Pizza, Venues & Event Spaces"
Food,"Deli, Fast Food"
"Night Life, Attractions, Food","Cocktail Bars, Mexican, Venues & Event Spaces"
Food,"Breakfast & Brunch, Coffee & Tea, Desserts"
Food,"Mediterranean, Greek, Fast Food"
Food,"Mediterranean, Turkish"
Food,"American, Japanese, Seafood"
Food,"Coffee & Tea, Juice Bars & Smoothies, Fast Food"
"Night Life, Food","Beer Gardens, European"
Attraction,Museums
Food,"Korean, American, Deli"
Food,Mexican
"Night Life, Food","Bars, American"
Food,"Restaurants, Desserts"
Food,Barbeque
Active Life,Parks
"Night Life, Food","European, Lounges, Fast Food"
"Night Life, Food","Bars, American"
"Night Life, Food","Cocktail Bars, American"
Attraction,Museums
"Night Life, Food","American, Sports Bars, Brewpubs"
Food,American
"Night Life, Food","Cocktail Bars, Sports Bars, Barbeque"
Food,Restaurants
Food,"Healthy, European, Pizza"
Food,"Asian, Japanese"
Food,"African, European, Bakery"
Food,"Caribbean, Breakfast & Brunch, Fast Food"
"Night Life, Food","Pubs, Deli, Fast Food"
Food,"Restaurants, American"
"Night Life, Food","Bars, Breakfast & Brunch, Fast Food"
Food,Fast Food
Food,Indian
"Night Life, Food","Bars, American, Fast Food"
Food,"Asian, Chinese"
"Night Life, Food","Bars, European, Pizza"
"Night Life, Food","Wine Bars, Spanish, Seafood"
Attraction,Amusement Parks
Food,"Coffee & Tea, Juice Bars & Smoothies, Fast Food"
"Night Life, Food","Pubs, Seafood, Fast Food"
