,listing_id,price_amt,price_avg_nightly,price_fees,price_rent,latitude,longitude,city,state,country,review_count,review_average,bathrooms,bedrooms,listing_url,book_with_confidence,crime_score
0,7554619,1379.0,172.38,,1379.0,33.77818613,-84.38074973,Atlanta,GA,US,2,5.0,1.0,1,https://www.homeaway.com/vacation-rental/p7554619?uni_id=6978903,True,373
1,7512702,1120.0,140.0,,1120.0,33.77834244,-84.39100332,Atlanta ,GA,US,1,4.0,1.0,1,https://www.homeaway.com/vacation-rental/p7512702?uni_id=6925236,True,1
2,v625088,3464.76,433.1,,3464.76,33.768265899999996,-84.35121590000001,Atlanta,GA,US,19,4.7894735,2.0,4,https://www.vrbo.com/625088?unitId=1172869,True,74
3,v1424850,1750.0,218.75,,1750.0,33.67009615,-84.38312558,Atlanta,GA,US,5,4.8,2.0,4,https://www.vrbo.com/1424850?unitId=1983355,True,38
4,7172028,1932.0,241.5,,1932.0,33.773268200000004,-84.38675440000002,Atlanta,GA,US,13,4.6153846,2.0,2,https://www.homeaway.com/vacation-rental/p7172028?uni_id=6340355,True,373
5,v1376109,1648.0,206.0,,1648.0,33.72246622,-84.4337468,Atlanta,GA,US,2,5.0,1.0,3,https://www.vrbo.com/1376109?unitId=1934463,True,107
6,v1417224,602.3,75.29,,602.3,33.7698875,-84.35430759999998,Atlanta,GA,US,1,5.0,1.0,1,https://www.vrbo.com/1417224?unitId=1975611,True,30
7,7187508,1112.0,139.0,,1112.0,33.724109999999996,-84.44851,Atlanta,GA,US,1,3.0,1.0,3,https://www.homeaway.com/vacation-rental/p7187508?uni_id=6362188,True,36
8,7130050,918.0,114.75,,918.0,33.81047814,-84.36742321,Atlanta,GA,US,5,4.8,1.0,1,https://www.homeaway.com/vacation-rental/p7130050?uni_id=6276746,True,61
9,7331172,1300.0,162.5,,1300.0,33.84881996,-84.36663325,Atlanta,GA,US,0,0.0,1.0,1,https://www.homeaway.com/vacation-rental/p7331172?uni_id=6671878,True,102
10,v1431497,893.0,111.63,,893.0,33.7668996,-84.4192772,Atlanta,GA,US,2,2.5,2.0,3,https://www.vrbo.com/1431497?unitId=1990021,True,36
11,v1337903,1719.5,214.94,,1719.5,33.728261200000006,-84.3670403,Atlanta,GA,US,28,4.892857,2.0,3,https://www.vrbo.com/1337903?unitId=1896239,True,87
